epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,2620.13,0.24404,0.21269,0.93339,0.99905,1,0.995,0.99193,0.20845,0.1616,0.70487,0.000713,0.000713,0.000713
67,2659.36,0.22991,0.19847,0.91962,1,1,0.995,0.9902,0.22074,0.1582,0.72492,0.0006932,0.0006932,0.0006932
68,2698.39,0.23514,0.20484,0.91608,0.99907,1,0.995,0.99405,0.21916,0.15092,0.71597,0.0006734,0.0006734,0.0006734
69,2737.5,0.22515,0.19667,0.90696,0.99907,1,0.995,0.99161,0.21696,0.15604,0.71402,0.0006536,0.0006536,0.0006536
70,2780.53,0.22334,0.19598,0.90982,0.99906,1,0.995,0.99363,0.21464,0.15748,0.71105,0.0006338,0.0006338,0.0006338
71,2829.73,0.22799,0.1953,0.91377,0.99907,1,0.995,0.99229,0.22755,0.15869,0.72662,0.000614,0.000614,0.000614
72,2871.84,0.22496,0.18657,0.91157,0.99907,1,0.995,0.98892,0.23253,0.15998,0.73777,0.0005942,0.0005942,0.0005942
73,2911.05,0.23186,0.20381,0.91411,0.99904,1,0.995,0.99274,0.22292,0.14654,0.72129,0.0005744,0.0005744,0.0005744
74,2950.05,0.21277,0.18734,0.90838,0.99905,1,0.995,0.99165,0.2153,0.14604,0.71201,0.0005546,0.0005546,0.0005546
75,2994.83,0.22472,0.22943,0.91357,0.99904,1,0.995,0.98961,0.20335,0.1314,0.69654,0.0005348,0.0005348,0.0005348
76,3043.18,0.21755,0.19168,0.91697,0.99906,1,0.995,0.99261,0.19367,0.13687,0.69397,0.000515,0.000515,0.000515
77,3092.01,0.21304,0.18217,0.90621,0.99908,1,0.995,0.99188,0.18759,0.12982,0.69281,0.0004952,0.0004952,0.0004952
78,3133.82,0.21074,0.17933,0.90876,0.99907,1,0.995,0.99057,0.1886,0.13132,0.69487,0.0004754,0.0004754,0.0004754
79,3172.99,0.21011,0.33803,0.90122,0.94887,1,0.995,0.99367,0.21181,0.16951,0.71226,0.0004556,0.0004556,0.0004556
80,3212.11,0.21003,0.17646,0.90904,0.99906,1,0.995,0.99425,0.20265,0.13444,0.69894,0.0004358,0.0004358,0.0004358
81,3251.32,0.21229,0.18414,0.90835,1,1,0.995,0.99183,0.19246,0.14455,0.69616,0.000416,0.000416,0.000416
82,3290.4,0.21482,0.18452,0.91,0.99906,1,0.995,0.9931,0.19378,0.13574,0.70146,0.0003962,0.0003962,0.0003962
83,3331.8,0.2065,0.17983,0.90889,0.99905,1,0.995,0.99081,0.19365,0.14115,0.70314,0.0003764,0.0003764,0.0003764
